date,latitude,longitude,depth,mag,id
20150409,35.6249,-97.2047,5.393,3.2,us200025bg
20150409,36.7222,-97.8312,5.95,3,us2000259t
20150410,47.2503333,-120.7453333,3.179,3.19,uw60985702
20150410,35.811,-97.234,5.75,3.2,us200025kg
20150411,43.7027,-105.1973,0,3.2,us200025vj
20150411,36.511,-99.0309,7.231,3.1,us200026ri
20150411,48.405,-114.24,12.6,3.5,mb31284
20150412,35.949,-96.775,4.45,3.5,us20002606
20150412,45.8467,-106.6501,0,3,us200027cw
20150412,36.7214,-97.9331,6.885,3.2,us200025xn
20150412,35.8083,-97.4164,5.262,3,us200025ww
20150412,36.1195,-97.5644,5.518,3.4,us200025vt
20150413,31.1468333,-116.6001667,5.963,3.39,ci37363312
20150413,36.5068,-99.0534,9.177,3.5,us2000263w
20150413,36.077,-97.5578,5.06,3.3,us2000263f
20150413,33.9981667,-118.3601667,11.901,3.32,ci37362808
20150414,43.7489,-105.2835,0,3.2,us200026b1
20150415,43.5946,-105.2092,0,3.4,us2000284z
20150415,36.3294,-97.5229,6.978,3.3,us200026s8
20150415,36.3138,-97.5153,6.438,3,us200026zn
20150416,43.7863,-105.2619,0,3.3,us2000273x
20150416,36.5274,-98.9408,8.8,3.5,us2000270a
20150416,34.3348333,-118.4566667,8.249,3.08,ci37364384
20150417,35.9196,-97.3268,5.433,3.4,us200027d8
20150417,35.9148,-97.4096,5.977,3.1,us200027a1
20150417,35.919,-97.3258,5.134,3.3,us2000278w
20150417,35.9226,-97.3308,3.089,3.8,us2000278k
20150417,35.9211,-97.33,4.359,3.6,us2000278a
20150418,43.7934,-105.3085,0,3.1,us200027kx
20150418,36.9446,-97.6311,5,3.4,us200027ka
20150419,35.5746667,-120.8583333,4.764,3.19,nc72431135
20150419,43.6407,-105.1583,0,3.4,us200027nr
20150419,35.9188,-97.3241,5.631,3.5,us200027m0
20150419,35.953,-97.3318,3.16,4.2,us200027lp
20150419,34.0161667,-116.4375,0.006,3.15,ci37147927
20150420,40.6474,-109.4208,0,3.3,us200027x7
20150420,36.849,-97.88,5.3,3.4,us200027s8
20150420,31.1641667,-115.736,5.925,3.55,ci37148455
20150422,36.9428,-97.6334,6.4,3.4,us200028f9
20150422,41.1802,-116.2214,1.1,3,nn00490973
20150423,43.812,-105.2505,0,3,us20002a6w
20150423,36.624,-97.6568,5.85,3.7,us200028ih
20150423,36.629,-97.654,6.5,3.4,us20002a68
20150423,36.6236,-97.6575,7.098,3,us200028i7
20150424,35.7474,-97.3799,5.461,3.2,us2000290f
20150424,35.585,-97.3725,6.588,3.6,us200028tf
20150424,36.116,-97.58,3.134,3,us200028t8
20150424,48.1995,-116.3732,10,3.3,us200028sf
20150424,36.274,-97.463,5.3,3,us10002lrq
20150424,36.7392,-97.5768,3.53,3.2,us200028rl
20150424,48.2186,-116.4109,16.57,3.9,us200028ri
20150424,48.1367,-116.3641,9.35,3.7,us200028q3
20150425,36.4033,-97.3326,7.512,3.4,us200029n2
20150425,43.6727,-105.135,0,3.3,us20002biv
20150425,44.0801,-105.3043,0,3.2,us10002kdh
20150425,43.4971,-105.3265,0,3.1,us20002biu
20150425,38.7861667,-122.72,1.764,3.28,nc72435065
20150426,43.7682,-105.2679,0,3.3,us200029h0
20150426,36.2833,-97.5131,4.953,3.3,us200029ex
20150426,35.967,-97.38,6.1,3.1,us200029dg
20150426,36.2732,-96.9406,4.877,3,us200029gj
20150426,35.971,-97.382,4.7,3,us200029ay
20150426,36.2821,-96.91,5.015,3,us200029l2
20150427,43.6889,-105.23,0,3.2,us200029q1
20150427,35.918,-97.3256,5.279,4.1,us200029pp
20150427,43.6729,-105.2669,0,3.2,us200029mz
20150427,35.7033333,-121.0548333,9.356,3.05,nc72436205
20150427,36.2804,-97.5114,6.789,3.1,us200029j4
20150428,37.0208,-97.896,7.74,3.6,us20002a09
